,total_cells,total_genes,n_ct,ct_less_cells,ct_more_cells,highest_expressed,readsxcell
9968be68-ab65-4a38-9e1a-c9b6abece194,9313.0,212.0,13.0,0.001503274991946741,0.620637818103726,103.10372597444433,708.3280360785998
574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,9634.0,166.0,24.0,0.003010172306414781,0.24226697114386547,212.731887066639,1101.0120406892256
ed852810-a003-4386-9846-1638362cee39,417.0,226.0,5.0,0.03597122302158273,0.7985611510791367,9.18705035971223,74.53237410071942
e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,7420.0,220.0,5.0,0.0014824797843665768,0.6016172506738544,200.09636118598382,1517.3548517520217
ae5341b8-60fb-4fac-86db-86e49ee66287,8839.0,174.0,13.0,0.010974092091865596,0.3053512840819097,246.30931100803258,1035.146396651205
96a3f64b-0ee9-40d8-91e9-813ce38261c9,8839.0,173.0,13.0,0.010974092091865596,0.3053512840819097,99.68073311460573,865.9863106686277
6ceeaa86-9ceb-4582-b390-6d4dd6ff0572,10453.0,175.0,20.0,0.0010523294747919257,0.48416722472017604,235.32143882139098,638.2422271118339
ddb22b3d-a75c-4dd1-9730-dff7fc8ca530,30099.0,233.0,11.0,0.025250008305923784,0.24741685770291372,106.31143891823649,760.3083823382836
11ff73e8-d3e4-4445-9309-477a2c5be6f6,18219.0,183.0,5.0,0.0027443877270980845,0.8483451342005599,92.68703002360174,1227.178549865525
9fcb0b73-c734-40a5-be9c-ace7eea401c9,8140.0,149.0,23.0,0.007002457002457003,0.18255528255528256,148.3541769041769,659.7411547911548
218acb0f-9f2f-4f76-b90b-15a4b7c7f629,8448.0,189.0,9.0,0.002130681818181818,0.3697916666666667,145.00982481060606,1155.7633759469697
f72958f5-7f42-4ebb-98da-445b0c6de516,3732.0,216.0,8.0,0.0034833869239013935,0.4742765273311897,742.7813504823151,2422.0155412647373
b46237d1-19c6-4af2-9335-9854634bad16,10746.0,192.0,20.0,0.0011166945840312675,0.2761027359017309,273.39177368323095,3441.7307835473666
9ea768a2-87ab-46b6-a73d-c4e915f25af3,15000.0,192.0,9.0,0.0008666666666666666,0.9376,77.75993333333334,420.5403333333333
2a7f90de-098a-4a6f-ac07-9e6462792412,6282.0,147.0,3.0,0.1507481693728112,0.6852913085004776,592.4547914676855,2828.10888252149
5bc42b88-bb76-4954-927b-8bb7369adc64,8328.0,213.0,15.0,0.0024015369836695487,0.39613352545629205,374.13640730067243,1693.7405139289144
7bb64315-9e5a-41b9-9235-59acf9642a3e,15939.0,160.0,25.0,0.0007528703180877094,0.5143986448334275,371.28508689378253,1356.5039839387666
773b9b2e-70c8-40be-8cbb-e7b5abab360d,12582.0,210.0,7.0,0.0015100937847718965,0.6516452074391988,391.56159593069464,1909.161738992211
644a578d-ffdc-446b-9679-e7ab4c919c13,7396.0,192.0,19.0,0.0016224986479177934,0.18320713899405083,268.6337209302326,1719.4871552190373
ae4f8ddd-cac9-4172-9681-2175da462f2e,8028.0,222.0,7.0,0.002242152466367713,0.5454658694569009,36.99975087194818,442.59404583956155
ecf2e08e-2032-4a9e-b466-b65b395f4a02,10751.0,142.0,3.0,0.00883638731280811,0.9405636684959539,311.0207422565343,1539.5755743651753
01209dce-3575-4bed-b1df-129f57fbc031,16185.0,203.0,6.0,0.012171763978992894,0.40710534445474206,66.73246833487798,1323.2655545257956
804d9a85-665b-45c6-b204-13457fdcc7ac,7932.0,167.0,10.0,0.005547150781643974,0.5940494200706001,1047.5504286434696,7580.6805345436205
94c41723-b2c4-4b59-a49a-64c9b851903e,9327.0,231.0,8.0,0.011257639112254744,0.2629998927843894,32.13133912297631,416.72156105929025
518d9049-2a76-44f8-8abc-1e2b59ab5ba1,14300.0,149.0,17.0,0.002307692307692308,0.2878321678321678,110.29027972027973,441.77804195804197
5ce42b38-d867-487f-9b40-e8bb00b21d0b,2941.0,205.0,6.0,0.011220673240394424,0.5283917035022101,140.29309758585515,1266.5555933356002
aa633105-e8e5-4dcc-b72d-6da6c191b3e9,10836.0,175.0,14.0,0.003137689184200812,0.26384274640088595,288.9607788851975,3171.0236249538575
